state,lat,lng,elevation,slope_deg,drainage_density,ndvi,ndwi,land_surface_temp,mineral_alteration_index,mn_ppm_soil,magnetic_anomaly_nt,distance_to_fault_km,distance_to_known_mine_km,geology_type,prospectivity_score
Goa,15.7974,73.9876,579.2,30.1,0.53,0.564,-0.055,25.3,0.353,386.6,-17.1,2.98,802.2,laterite,0.254
Odisha,22.094,85.2271,557.7,20.4,1.35,0.266,0.147,24.0,0.597,663.4,21.9,5.16,521.54,gondite_archean,0.4
Karnataka,16.6058,76.9937,615.5,25.3,1.02,0.343,-0.037,26.9,0.53,458.4,39.6,1.94,551.3,archean,0.43
Karnataka,15.3013,77.7408,771.3,31.9,1.63,0.567,-0.233,31.0,0.469,348.2,-4.8,0.43,665.75,archean,0.402
Odisha,19.5665,83.5292,188.3,9.1,0.82,0.742,-0.116,24.0,0.696,808.8,8.9,6.6,427.84,gondite_archean,0.581
Maharashtra,20.8203,79.8331,796.6,30.6,1.82,0.408,0.085,35.1,0.545,512.6,30.1,5.18,43.28,gondite_archean,0.535
Odisha,20.6852,84.12,390.9,13.7,2.98,0.747,-0.231,33.6,0.502,653.3,106.5,2.0,426.72,gondite_archean,0.621
Maharashtra,19.7739,80.3443,625.4,15.8,2.41,0.641,-0.126,27.4,0.553,665.3,53.7,20.16,171.26,gondite_archean,0.556
Madhya Pradesh,21.3502,78.7095,722.7,4.2,0.68,0.157,0.056,36.2,0.491,973.2,47.9,1.02,45.28,gondite_archean,0.637
Madhya Pradesh,22.2488,80.3377,706.5,32.0,0.24,0.635,0.263,34.6,0.565,746.0,-2.9,7.83,52.48,gondite_archean,0.458
Andhra Pradesh,18.9052,84.1062,441.3,22.6,2.6,0.444,-0.17,24.7,0.435,420.9,30.1,4.06,520.67,kodurite_archean,0.18
Maharashtra,19.1391,78.7479,499.4,12.5,1.03,0.19,0.237,33.1,0.762,642.0,57.8,5.2,226.44,gondite_archean,0.553
Karnataka,12.0717,78.2062,582.6,7.9,2.77,0.699,0.294,36.0,0.561,731.6,21.2,31.07,1013.83,archean,0.39
Odisha,22.1127,83.5144,116.8,16.8,0.87,0.564,0.039,23.2,0.516,558.2,51.7,4.3,345.63,gondite_archean,0.467
Odisha,20.953,83.8179,203.1,9.1,2.61,0.705,0.196,27.3,0.604,438.2,60.5,14.98,388.27,gondite_archean,0.54
Maharashtra,21.385,79.522,831.1,33.9,2.57,0.336,-0.182,30.8,0.684,754.2,31.7,11.15,27.34,gondite_archean,0.519
Odisha,20.4623,84.855,598.1,6.4,2.61,0.419,0.25,29.5,0.477,693.0,38.6,0.91,507.16,gondite_archean,0.477
Karnataka,15.8303,75.6027,240.2,27.3,2.85,0.21,-0.207,37.4,0.565,626.7,56.5,0.67,696.43,archean,0.338
Odisha,21.821,85.3504,842.4,15.6,2.64,0.419,0.288,37.4,0.65,713.3,28.3,7.83,533.75,gondite_archean,0.519
Odisha,22.0101,84.1109,156.7,14.6,1.82,0.663,0.285,29.0,0.359,1198.0,39.0,3.31,406.2,gondite_archean,0.427
Maharashtra,20.3597,80.2537,534.8,9.1,2.58,0.484,-0.176,32.0,0.68,697.2,81.4,0.8,109.81,gondite_archean,0.559
Karnataka,18.3911,77.7338,228.0,10.4,1.12,0.54,0.154,34.0,0.685,668.8,3.1,6.65,338.0,archean,0.399
Jharkhand,23.586,86.1574,617.4,32.6,1.4,0.349,0.286,35.8,0.471,264.6,1.1,25.33,644.48,archean,0.281
Karnataka,17.6896,75.2574,538.3,1.8,2.34,0.499,0.075,22.8,0.624,372.1,78.7,6.37,556.34,archean,0.514
Odisha,20.2335,83.9797,779.3,22.0,0.72,0.256,0.224,33.9,0.439,1124.7,22.3,15.05,431.13,gondite_archean,0.533
Maharashtra,19.7427,79.3531,248.8,4.8,2.22,0.311,0.192,37.9,0.554,618.2,53.0,11.42,158.87,gondite_archean,0.526
Karnataka,14.95,76.8799,879.2,12.1,2.78,0.312,0.293,32.7,0.794,513.2,5.3,0.96,727.88,archean,0.335
Odisha,20.543,86.17,586.4,4.5,2.59,0.511,0.277,32.7,0.547,519.1,33.4,0.12,636.58,gondite_archean,0.486
Odisha,20.255,85.0034,490.0,5.7,2.09,0.508,-0.123,22.2,0.538,636.6,29.1,7.91,529.24,gondite_archean,0.415
Madhya Pradesh,21.8091,76.7506,591.2,30.3,2.31,0.482,-0.083,27.8,0.541,792.7,29.5,0.89,252.91,gondite_archean,0.652
Odisha,22.1709,85.425,430.7,3.5,2.2,0.572,0.068,30.2,0.798,498.8,-3.9,4.78,542.34,gondite_archean,0.525
Andhra Pradesh,17.7424,83.0857,643.6,11.7,2.42,0.228,0.158,23.1,0.251,710.5,31.5,5.69,524.36,kodurite_archean,0.19
Jharkhand,23.9664,86.27,454.3,17.7,2.11,0.211,-0.103,23.2,0.7,644.5,-23.6,0.69,668.69,archean,0.368
Madhya Pradesh,21.9494,78.9195,881.8,4.8,0.79,0.434,0.281,34.3,0.525,921.6,34.4,28.07,90.63,gondite_archean,0.49
Maharashtra,20.9464,80.0523,528.1,28.1,1.87,0.339,0.037,30.5,0.734,681.9,43.1,3.71,48.59,gondite_archean,0.536
Odisha,20.5897,85.6372,195.4,32.4,0.42,0.708,0.124,27.3,0.734,648.1,79.7,3.94,581.51,gondite_archean,0.637
Karnataka,18.4341,75.3557,434.3,10.9,2.34,0.608,-0.125,23.3,0.516,616.3,32.9,5.08,493.77,archean,0.419
Odisha,22.1737,85.2187,579.3,4.3,1.27,0.717,0.054,27.5,0.65,825.8,39.4,25.49,521.17,gondite_archean,0.413
Odisha,21.659,85.6507,643.7,12.9,1.08,0.561,-0.171,28.7,0.552,869.7,5.4,12.49,565.27,gondite_archean,0.502
Maharashtra,19.2815,80.3241,255.7,21.8,2.96,0.679,0.274,27.5,0.735,780.5,49.0,3.13,221.46,gondite_archean,0.508
Karnataka,16.3025,76.368,749.6,6.3,2.41,0.189,-0.184,32.5,0.468,784.9,39.5,1.9,610.45,archean,0.281
Andhra Pradesh,18.6605,82.7906,471.1,27.3,1.14,0.53,-0.27,31.7,0.504,450.7,-16.7,14.71,430.86,kodurite_archean,0.21
Odisha,20.6898,84.795,327.8,32.0,2.3,0.188,0.129,30.4,0.524,906.9,39.1,5.38,493.94,gondite_archean,0.651
Karnataka,13.3366,77.5228,461.1,33.6,0.93,0.56,0.264,32.6,0.536,689.9,58.9,1.36,884.58,archean,0.356
Madhya Pradesh,21.8065,79.9499,522.4,15.0,0.95,0.749,-0.257,22.7,0.528,851.3,74.1,3.65,23.77,gondite_archean,0.655
Jharkhand,22.8688,85.3009,472.8,24.1,2.53,0.425,0.056,26.3,0.329,739.8,28.2,3.22,539.91,archean,0.427
Odisha,20.2334,86.415,591.5,32.1,0.85,0.223,-0.296,30.1,0.648,705.7,24.1,1.3,670.14,gondite_archean,0.528
Odisha,20.9057,84.987,331.1,6.9,2.33,0.744,0.167,26.7,0.467,639.9,42.3,7.44,507.63,gondite_archean,0.441
Maharashtra,20.7005,79.0847,364.2,24.2,1.18,0.278,-0.075,26.4,0.512,880.8,40.4,1.9,49.98,gondite_archean,0.529
Karnataka,12.4169,75.4051,734.3,28.3,0.78,0.352,-0.219,23.2,0.707,709.3,38.7,0.13,1047.14,archean,0.466
Odisha,21.4647,84.8152,886.0,23.6,2.88,0.271,0.218,27.1,0.735,796.3,8.9,34.36,480.53,gondite_archean,0.291
Karnataka,15.9265,74.7182,773.8,23.0,1.33,0.16,0.055,22.2,0.458,556.4,17.4,3.01,741.34,archean,0.36
Odisha,21.2405,85.8162,676.9,9.7,0.45,0.197,-0.044,37.1,0.475,615.7,44.0,9.11,586.3,gondite_archean,0.4
Madhya Pradesh,24.014,77.8914,207.6,10.8,2.05,0.518,0.019,32.9,0.663,842.1,73.5,2.29,339.91,gondite_archean,0.593
Maharashtra,21.2555,79.2715,723.3,25.6,0.37,0.499,-0.222,37.5,0.553,789.4,44.4,3.38,22.17,gondite_archean,0.518
Odisha,21.1249,84.8575,180.9,28.3,2.76,0.604,0.193,25.5,0.46,645.0,54.1,8.14,489.81,gondite_archean,0.526
Karnataka,14.7675,74.8013,125.2,24.6,1.43,0.481,0.035,26.4,0.223,251.3,58.2,4.8,842.14,archean,0.338
Madhya Pradesh,24.1343,80.9299,812.3,10.2,0.3,0.307,-0.133,36.5,0.482,826.3,72.8,15.71,270.68,gondite_archean,0.553
Goa,15.1614,73.9549,292.3,13.2,2.76,0.495,0.143,29.8,0.653,481.5,27.1,13.31,858.74,laterite,0.203
Karnataka,16.8517,76.1161,642.7,27.0,2.98,0.357,-0.053,24.6,0.597,462.9,24.0,1.59,571.07,archean,0.431
Odisha,20.8652,84.5173,286.9,26.0,0.22,0.474,0.176,26.3,0.757,980.9,21.0,3.4,461.09,gondite_archean,0.653
Andhra Pradesh,18.6377,83.1425,182.4,3.4,0.46,0.5,-0.269,27.4,0.371,712.9,36.3,2.26,461.07,kodurite_archean,0.372
Maharashtra,20.8694,79.2949,268.3,18.7,2.78,0.534,-0.196,32.9,0.786,479.9,41.2,13.46,37.76,gondite_archean,0.654
Maharashtra,20.5377,78.8016,768.8,32.8,0.58,0.443,-0.145,34.1,0.476,866.5,34.8,12.77,74.39,gondite_archean,0.529
Karnataka,14.1338,75.133,234.1,23.5,1.74,0.223,-0.232,23.2,0.624,859.6,31.1,0.71,885.55,archean,0.383
Goa,15.7257,74.1491,841.0,28.6,2.52,0.492,-0.116,25.5,0.571,125.4,-3.9,5.05,796.97,laterite,0.15
Odisha,21.2659,86.7311,698.5,23.7,1.83,0.443,-0.188,36.3,0.519,737.5,20.7,3.72,680.15,gondite_archean,0.509
Odisha,19.9112,84.1062,143.5,23.3,2.54,0.374,0.225,25.4,0.453,691.1,7.6,7.6,458.83,gondite_archean,0.551
Maharashtra,20.3643,79.7553,848.2,11.2,1.21,0.581,0.067,24.9,0.49,328.0,7.3,20.66,90.26,gondite_archean,0.418
Maharashtra,20.2034,79.8601,817.8,5.6,0.9,0.476,0.179,22.6,0.556,846.8,4.0,1.53,109.68,gondite_archean,0.445
Maharashtra,21.3885,79.3273,861.9,29.0,1.55,0.554,-0.039,30.9,0.578,713.2,25.1,3.13,36.17,gondite_archean,0.588
Karnataka,15.8783,75.6494,574.0,11.1,0.36,0.152,-0.239,34.7,0.51,763.0,-0.6,6.41,689.27,archean,0.357
Odisha,21.3336,86.7664,256.6,27.0,0.27,0.375,-0.234,27.6,0.508,557.5,-4.0,8.55,683.02,gondite_archean,0.382
Goa,15.3205,73.8962,316.6,30.0,1.8,0.423,-0.21,29.2,0.461,402.9,-28.9,4.23,848.94,laterite,0.208
Andhra Pradesh,18.2913,83.1684,266.3,28.2,1.95,0.431,-0.17,27.3,0.473,625.0,30.1,12.08,487.89,kodurite_archean,0.152
Karnataka,13.1616,76.8397,632.2,25.2,2.67,0.373,-0.255,37.3,0.76,449.1,42.7,1.84,919.82,archean,0.543
Maharashtra,21.0094,79.606,490.8,4.9,0.44,0.354,-0.113,37.3,0.637,1008.2,6.6,30.7,18.44,gondite_archean,0.528
Karnataka,12.695,76.4752,799.2,31.2,0.23,0.682,-0.137,22.6,0.695,1036.2,42.5,17.67,980.35,archean,0.521
Madhya Pradesh,24.3868,81.9692,193.2,29.9,1.6,0.383,0.068,22.9,0.691,783.8,29.4,22.44,340.9,gondite_archean,0.398
Karnataka,14.3294,76.2621,515.6,22.5,2.44,0.421,0.19,30.5,0.67,405.1,40.3,0.47,815.32,archean,0.516
Odisha,20.3559,84.4892,638.7,1.6,2.32,0.309,-0.114,30.4,0.601,729.6,35.6,15.15,475.03,gondite_archean,0.423
Madhya Pradesh,22.0232,77.3661,665.4,34.1,2.7,0.355,0.299,22.1,0.509,480.5,57.5,2.17,202.97,gondite_archean,0.571
Karnataka,18.0204,77.76,358.6,34.4,2.18,0.187,-0.279,24.7,0.423,776.7,6.1,20.29,374.84,archean,0.34
Karnataka,17.9029,78.2795,104.9,16.8,0.27,0.695,0.011,23.2,0.489,485.9,32.8,16.18,370.92,archean,0.422
Karnataka,12.2809,78.3973,113.7,33.2,1.23,0.156,0.113,37.7,0.552,403.2,62.2,1.6,988.95,archean,0.438
Jharkhand,23.2775,86.6941,532.1,15.1,2.94,0.499,0.22,37.3,0.585,1047.3,15.1,2.35,688.81,archean,0.416
Karnataka,14.3404,76.1822,179.1,2.4,2.09,0.472,-0.034,32.2,0.487,906.7,39.6,14.64,817.33,archean,0.436
Karnataka,16.1907,75.2083,548.4,34.4,1.65,0.707,-0.056,38.0,0.456,678.5,-11.0,0.26,686.41,archean,0.44
Andhra Pradesh,17.9136,84.0931,330.6,7.6,2.93,0.367,0.061,31.8,0.57,534.3,-6.4,15.87,589.74,kodurite_archean,0.362
Odisha,21.1327,86.8269,600.3,28.8,2.03,0.654,0.267,26.4,0.553,523.1,13.4,0.03,691.77,gondite_archean,0.522
Karnataka,18.2976,77.2799,421.1,7.5,1.2,0.252,-0.236,36.5,0.501,578.8,-6.9,2.87,369.44,archean,0.339
Odisha,21.8228,85.994,608.0,14.2,2.75,0.732,-0.196,25.6,0.453,791.2,87.9,5.91,600.18,gondite_archean,0.475
Karnataka,15.5259,78.3352,264.8,23.3,0.32,0.19,0.031,23.7,0.731,772.1,44.0,1.61,630.42,archean,0.371
Madhya Pradesh,22.4419,79.2304,896.0,32.9,0.21,0.681,-0.26,37.2,0.464,485.4,40.5,7.55,121.09,gondite_archean,0.504
Maharashtra,20.9049,79.0256,136.2,1.1,1.18,0.295,-0.263,24.9,0.574,553.6,65.0,0.83,28.06,gondite_archean,0.691
Karnataka,12.3333,76.0827,250.9,20.1,2.14,0.469,-0.039,28.2,0.467,768.4,51.1,4.35,1031.22,archean,0.484
Odisha,20.9116,83.8262,136.7,4.8,0.72,0.453,0.209,25.8,0.485,740.0,80.8,15.18,390.3,gondite_archean,0.639
Jharkhand,23.0163,85.6904,248.7,1.2,1.63,0.483,0.195,30.1,0.546,801.8,23.5,15.47,582.34,archean,0.421
Maharashtra,19.4256,78.8795,841.2,2.1,1.5,0.338,0.099,35.4,0.44,399.2,34.8,2.13,193.0,gondite_archean,0.501
Karnataka,16.6546,74.9377,316.4,2.6,1.41,0.646,-0.285,32.8,0.647,848.8,-0.6,1.49,663.72,archean,0.51
Madhya Pradesh,22.6929,79.8307,453.1,12.5,1.02,0.277,-0.141,23.5,0.525,760.5,53.1,3.15,105.59,gondite_archean,0.472
Maharashtra,20.7922,79.6624,867.0,1.7,2.27,0.725,0.217,24.7,0.444,677.6,77.6,3.05,42.03,gondite_archean,0.64
Madhya Pradesh,23.4182,77.3707,783.2,27.2,0.38,0.523,-0.159,30.9,0.367,632.9,43.2,0.97,308.06,gondite_archean,0.389
Madhya Pradesh,21.0047,76.5908,275.9,34.0,2.24,0.36,-0.244,30.3,0.582,486.1,48.0,8.04,259.81,gondite_archean,0.542
Madhya Pradesh,24.2454,81.4552,510.2,11.4,1.49,0.262,0.082,30.0,0.553,764.3,63.5,6.68,301.61,gondite_archean,0.503
Maharashtra,19.8476,79.6428,457.9,23.4,0.34,0.446,-0.122,27.2,0.572,386.0,32.3,10.9,147.05,gondite_archean,0.527
Andhra Pradesh,17.965,83.2855,385.2,29.3,0.32,0.335,0.108,31.0,0.645,50.0,9.1,5.57,521.57,kodurite_archean,0.16
Goa,15.2087,74.2339,615.4,1.7,2.23,0.171,0.298,36.0,0.315,246.3,-28.7,3.73,836.25,laterite,0.069
Karnataka,16.0374,75.1571,776.8,28.6,1.53,0.662,-0.152,22.3,0.426,1102.3,51.4,28.03,703.45,archean,0.463
Madhya Pradesh,23.6742,74.6705,228.6,25.9,1.41,0.418,-0.115,31.7,0.616,549.1,9.9,17.59,533.96,gondite_archean,0.396
Odisha,20.0298,85.4205,484.9,2.6,0.22,0.743,0.095,27.8,0.353,736.4,70.2,17.15,578.77,gondite_archean,0.44
Odisha,22.0211,83.9254,272.0,2.3,0.59,0.7,-0.024,23.2,0.627,686.6,57.5,12.75,387.16,gondite_archean,0.56
Karnataka,17.0336,75.5498,362.9,4.7,2.82,0.325,0.012,28.3,0.508,717.1,41.4,4.58,589.75,archean,0.434
Karnataka,16.8603,78.1516,703.9,8.7,2.69,0.383,0.046,35.3,0.587,538.3,51.1,1.51,487.08,archean,0.435
Karnataka,17.4135,74.5769,189.8,34.7,0.99,0.735,-0.19,27.8,0.611,904.1,51.7,14.83,629.98,archean,0.63
Odisha,20.8274,84.0441,576.8,9.5,1.13,0.433,-0.284,23.5,0.478,1138.6,48.7,0.07,414.61,gondite_archean,0.59
Madhya Pradesh,21.328,80.2475,893.2,19.1,2.11,0.292,-0.037,35.7,0.497,631.6,82.4,3.77,52.94,gondite_archean,0.524
Goa,15.0756,73.9854,667.2,8.7,2.04,0.249,-0.266,23.9,0.451,570.5,-5.6,7.18,864.23,laterite,0.262
Karnataka,18.1473,77.4903,684.4,2.6,1.74,0.43,0.257,26.1,0.447,346.2,15.6,15.58,373.54,archean,0.316
Madhya Pradesh,24.0148,80.6491,325.6,19.6,0.43,0.699,-0.057,28.3,0.515,405.7,21.2,12.87,250.91,gondite_archean,0.379
Andhra Pradesh,17.9563,83.438,799.1,2.8,2.69,0.282,0.107,31.3,0.604,543.0,9.7,6.18,534.0,kodurite_archean,0.235
Andhra Pradesh,17.8247,84.1059,419.7,7.4,2.33,0.205,0.009,23.0,0.611,175.4,-36.1,4.48,597.01,kodurite_archean,0.303
Odisha,20.8676,86.8364,780.4,5.9,0.28,0.71,0.016,30.6,0.477,990.2,51.0,8.92,697.13,gondite_archean,0.546
Odisha,19.8997,84.2149,713.4,11.0,0.26,0.717,-0.198,22.2,0.468,627.7,57.8,16.91,469.49,gondite_archean,0.499
Karnataka,14.6708,76.72,294.8,2.8,2.83,0.262,-0.181,29.6,0.474,658.7,19.9,9.21,762.78,archean,0.306
Odisha,20.769,85.4507,810.9,12.1,0.57,0.444,0.148,23.8,0.523,770.4,37.9,2.83,557.97,gondite_archean,0.467
Andhra Pradesh,18.4032,83.4079,426.3,17.9,0.31,0.686,0.299,24.9,0.621,760.3,28.2,4.78,499.19,kodurite_archean,0.402
Madhya Pradesh,23.409,78.1019,480.5,22.9,1.76,0.536,0.068,33.5,0.597,1221.9,25.2,2.21,270.98,gondite_archean,0.667
Odisha,21.1799,85.5673,877.6,13.3,1.3,0.271,-0.258,34.4,0.634,494.7,31.0,16.72,561.61,gondite_archean,0.56
Karnataka,13.8519,78.0841,789.3,6.6,0.27,0.204,-0.128,37.6,0.274,849.4,25.8,3.03,818.48,archean,0.429
Goa,15.6796,74.2218,509.8,27.8,0.7,0.494,0.29,26.7,0.434,710.9,20.3,0.72,795.93,laterite,0.197
Goa,15.2334,73.9132,203.3,33.2,2.19,0.595,-0.0,29.6,0.458,227.6,-0.2,1.31,855.29,laterite,0.285
Maharashtra,19.3051,78.8787,269.2,19.9,2.4,0.339,-0.249,29.4,0.463,924.2,25.5,1.91,206.32,gondite_archean,0.522
Karnataka,14.0679,78.3261,731.3,25.6,0.72,0.696,0.197,24.6,0.473,786.7,34.6,8.49,791.64,archean,0.402
Odisha,20.4566,86.9749,642.7,25.8,0.8,0.197,-0.134,26.0,0.477,660.7,-7.0,13.73,720.34,gondite_archean,0.453
Odisha,20.8939,83.5478,485.3,2.9,2.94,0.624,-0.006,23.4,0.735,884.1,45.7,13.47,363.04,gondite_archean,0.47
Maharashtra,21.0075,80.2586,850.1,14.8,1.79,0.624,0.118,37.9,0.443,601.0,56.6,0.71,65.68,gondite_archean,0.489
Maharashtra,20.7336,79.0016,302.3,22.4,2.33,0.676,0.211,37.4,0.66,813.4,74.1,1.09,47.21,gondite_archean,0.618
Karnataka,13.7645,75.6666,198.6,28.4,0.23,0.338,-0.195,31.4,0.417,485.5,83.0,1.03,897.8,archean,0.414
Odisha,20.2415,86.9081,417.7,21.4,0.88,0.444,-0.256,22.6,0.274,633.2,48.7,39.59,719.44,gondite_archean,0.372
Karnataka,16.0596,78.3519,765.2,16.8,2.26,0.227,0.007,26.5,0.489,423.6,38.8,4.87,571.34,archean,0.322
Madhya Pradesh,21.5123,75.1182,566.7,34.5,0.47,0.321,0.222,23.2,0.568,992.4,-3.4,2.82,413.35,gondite_archean,0.428
Karnataka,17.7512,77.3952,635.8,28.2,0.92,0.521,-0.024,34.5,0.644,384.8,22.8,0.55,417.6,archean,0.457
Karnataka,14.2488,77.1889,860.8,17.5,1.51,0.543,-0.238,26.1,0.549,777.6,56.1,14.65,793.32,archean,0.491
Odisha,22.2931,85.4353,657.2,21.3,0.54,0.728,-0.226,26.1,0.614,1016.5,39.9,3.79,544.37,gondite_archean,0.638
Goa,15.029,74.2281,284.7,29.9,0.59,0.498,0.233,29.6,0.532,544.2,16.8,4.74,852.64,laterite,0.259
Odisha,19.6434,84.3626,214.6,20.0,0.72,0.173,-0.278,35.3,0.35,1005.8,39.7,1.62,496.67,gondite_archean,0.49
Maharashtra,20.9085,79.3587,789.3,6.1,0.98,0.206,-0.173,25.8,0.693,284.7,27.0,4.11,38.72,gondite_archean,0.497
Madhya Pradesh,22.2275,76.1871,561.9,32.7,0.3,0.612,0.134,37.4,0.387,799.9,77.2,18.08,322.97,gondite_archean,0.539
Maharashtra,19.4882,79.6994,365.7,1.3,0.76,0.218,0.206,26.1,0.484,708.0,6.9,3.59,187.08,gondite_archean,0.463
Andhra Pradesh,18.1365,84.3314,498.4,14.6,2.3,0.194,-0.246,32.4,0.647,496.8,11.8,7.26,594.98,kodurite_archean,0.317
Karnataka,18.3805,77.8243,829.4,9.6,2.36,0.309,-0.175,37.1,0.557,592.2,7.0,1.95,335.22,archean,0.294
Madhya Pradesh,22.2183,79.2591,112.5,3.2,0.48,0.401,0.189,36.2,0.613,474.7,19.3,4.21,105.72,gondite_archean,0.535
Madhya Pradesh,21.4721,74.2079,222.2,22.3,0.41,0.264,-0.097,23.2,0.747,571.5,3.3,15.03,506.99,gondite_archean,0.465
Karnataka,17.3465,76.1241,887.7,27.2,2.9,0.459,-0.016,34.1,0.645,537.3,34.5,1.59,525.14,archean,0.333
Karnataka,18.0538,75.0844,605.9,21.2,0.54,0.346,0.038,25.0,0.448,550.3,69.5,2.65,542.7,archean,0.402
Odisha,21.1237,86.8481,413.0,15.3,2.91,0.567,0.132,31.0,0.598,904.8,15.8,2.89,694.08,gondite_archean,0.572
Maharashtra,19.7418,79.6255,299.5,28.8,0.51,0.648,0.062,25.0,0.347,848.5,10.1,0.52,158.83,gondite_archean,0.411
Jharkhand,22.0631,86.325,397.0,23.0,1.2,0.554,0.138,33.0,0.559,501.8,-9.3,5.04,634.47,archean,0.259
Maharashtra,19.7721,79.1306,148.4,24.4,1.79,0.36,0.123,30.6,0.697,160.4,73.8,2.73,153.27,gondite_archean,0.57
Odisha,19.9699,85.7379,798.3,14.9,0.67,0.604,0.199,36.1,0.683,840.6,45.1,0.58,612.15,gondite_archean,0.52
Karnataka,15.0726,75.7428,796.3,6.8,1.19,0.615,-0.282,32.8,0.476,813.2,10.0,2.39,762.66,archean,0.426
Odisha,20.4456,86.5632,377.7,20.1,1.41,0.425,0.282,26.7,0.42,1151.4,38.0,13.43,678.93,gondite_archean,0.466
Odisha,19.7088,84.0377,711.5,25.6,1.78,0.431,0.233,34.3,0.62,879.0,22.9,16.0,463.61,gondite_archean,0.615
Goa,15.019,73.8258,867.0,10.4,2.65,0.383,-0.229,23.3,0.383,289.5,57.1,34.38,879.76,laterite,0.191
Karnataka,15.3682,76.5873,531.5,18.6,0.22,0.151,-0.241,23.6,0.407,791.2,30.7,1.54,695.05,archean,0.276
Andhra Pradesh,18.8326,84.2026,446.7,26.8,0.47,0.174,0.152,28.8,0.462,742.6,27.4,19.81,533.63,kodurite_archean,0.299
Odisha,22.3494,84.0308,165.6,15.7,2.52,0.434,0.198,33.7,0.56,392.4,7.9,3.55,401.47,gondite_archean,0.416
Odisha,20.1117,84.1547,491.2,28.1,1.79,0.686,0.082,33.0,0.489,1172.3,27.0,15.72,453.39,gondite_archean,0.544
Maharashtra,19.6131,80.0361,110.1,8.4,0.38,0.618,0.154,35.0,0.56,742.1,18.2,8.39,177.74,gondite_archean,0.528
Odisha,20.044,85.1653,622.9,6.0,0.72,0.273,-0.157,25.6,0.757,556.0,75.2,10.16,553.34,gondite_archean,0.496
Odisha,19.6465,86.5728,163.9,6.0,0.26,0.527,0.049,37.8,0.534,967.1,2.2,1.32,706.57,gondite_archean,0.439
Odisha,19.8969,83.8994,292.4,11.4,2.89,0.497,0.293,28.0,0.324,685.2,30.4,23.21,440.61,gondite_archean,0.422
Jharkhand,22.0898,85.3007,438.8,7.3,1.22,0.227,-0.026,26.3,0.434,607.5,36.3,3.19,529.1,archean,0.375
Andhra Pradesh,18.7648,84.4041,732.1,23.4,2.6,0.195,-0.022,37.8,0.52,571.8,41.8,5.92,554.92,kodurite_archean,0.344
Goa,15.66,74.2219,638.4,11.4,0.3,0.711,0.052,26.8,0.472,363.1,19.4,8.29,797.6,laterite,0.268
Karnataka,13.9765,74.5342,766.9,4.0,1.97,0.452,0.016,36.8,0.437,637.8,32.5,0.24,932.26,archean,0.492
Odisha,21.338,86.3214,450.2,19.9,2.44,0.516,-0.165,31.8,0.727,932.3,47.0,1.76,637.1,gondite_archean,0.562
Jharkhand,23.0767,86.3439,179.6,13.9,2.35,0.574,-0.276,30.7,0.68,482.5,78.0,3.33,649.15,archean,0.427
Karnataka,14.7588,75.0823,764.9,12.9,1.32,0.686,-0.002,30.7,0.508,404.5,26.8,3.72,827.36,archean,0.42
Odisha,19.843,86.0911,716.0,33.9,2.37,0.296,-0.276,37.8,0.406,562.4,42.8,1.94,651.68,gondite_archean,0.506
Goa,15.7947,73.8433,789.8,14.3,1.67,0.699,0.284,26.2,0.407,427.1,-8.6,4.16,812.69,laterite,0.217
Odisha,22.0057,84.2341,362.6,30.6,2.29,0.281,-0.257,33.5,0.725,667.0,-11.4,4.8,418.87,gondite_archean,0.414
Maharashtra,21.2556,78.5995,519.3,2.1,1.51,0.681,-0.083,36.9,0.632,816.1,28.5,2.1,52.18,gondite_archean,0.589
Karnataka,13.1057,76.4796,477.1,33.5,1.41,0.621,0.265,36.0,0.518,366.1,1.2,3.58,936.42,archean,0.267
Andhra Pradesh,18.1782,83.5474,886.0,3.0,1.57,0.614,-0.209,31.8,0.533,435.2,-13.0,7.29,526.43,kodurite_archean,0.21
Odisha,20.3547,84.9582,382.9,18.8,1.88,0.49,0.093,26.9,0.602,680.0,27.1,4.18,521.13,gondite_archean,0.53
Karnataka,15.4666,77.138,133.3,25.5,0.37,0.431,0.197,29.2,0.551,735.1,-2.4,22.7,664.68,archean,0.343
Madhya Pradesh,23.9832,76.7368,368.2,34.5,1.66,0.234,-0.168,29.7,0.554,663.5,73.7,3.51,397.01,gondite_archean,0.482
Jharkhand,22.3615,86.182,171.8,26.0,2.99,0.641,0.033,29.8,0.478,617.6,51.3,15.33,621.54,archean,0.379
Maharashtra,20.5777,79.5279,667.0,14.3,2.56,0.556,0.119,30.6,0.522,879.4,71.0,5.43,67.07,gondite_archean,0.551
Goa,15.2771,73.9847,811.0,16.8,1.65,0.35,-0.134,32.5,0.364,534.5,30.8,1.63,846.69,laterite,0.327
Odisha,20.727,85.9473,611.0,19.1,2.35,0.605,0.071,34.6,0.655,711.5,67.4,6.32,609.39,gondite_archean,0.575
Odisha,21.1272,84.7989,658.0,17.2,2.54,0.557,0.111,25.5,0.483,998.1,10.4,6.19,483.78,gondite_archean,0.503
Odisha,21.1591,85.7705,412.2,18.0,2.65,0.215,0.175,24.7,0.499,1065.4,40.2,0.18,582.8,gondite_archean,0.573
Maharashtra,19.2756,80.0788,234.5,12.7,2.33,0.723,-0.077,35.3,0.623,674.9,11.3,2.88,215.35,gondite_archean,0.541
